,,,,,,,,,水質,,,,,,,,,,,,地質,,,,,底質汙染物,,,,,,,,藻礁生態系,,,,,,,,,,,,,,,
2019,3,26,SP,BY,3,BY3-L,L,7:28,19.5 ,32.1 ,8.09 ,10.12 ,110.2 ,28.30 ,0.03,0.47,0.11,0.297,56.6,,0.08333333333,0.000,0.167,24.833,4.500,0.049,0.19,21.8,27.7,30.2,14.5,117,9.99,,,,,,,,,,,,,,,,
2019,4,8,SP,G1,,G1-H,H,17:46,25.9 ,34.1 ,8.11 ,8.41 ,103.3 ,5.29 ,0.02,0.09,0.03,0.075,16.1,,3.383333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,8,SP,G1,,G1-M,M,17:39,25.7 ,34.2 ,8.07 ,9.59 ,117.2 ,5.15 ,0.02,0.10,0.02,0.045,16.6,,5.133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,8,SP,G1,,G1-L,L,17:33,25.4 ,34.2 ,8.07 ,8.96 ,109.4 ,9.05 ,0.02,0.09,0.04,0.055,14.5,,2.983333333,,,,,0.049,0.19,21.1,22.6,23.9,13.0,99.5,9.08,,,,,,,,,,,,,,,,
2019,3,27,SP,G2,,G2-H,H,9:08,21.0 ,32.5 ,8.06 ,11.33 ,131.7 ,16.75 ,0.04,0.49,0.11,0.341,41.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,G2,,G2-M,M,9:00,22.9 ,32.7 ,8.41 ,15.06 ,188.5 ,2.78 ,0.02,0.44,0.09,0.194,13.4,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,G2,,G2-L,L,8:53,21.5 ,32.6 ,8.32 ,11.58 ,141.3 ,9.29 ,0.02,0.47,0.09,0.179,28.7,,0.3166666667,,,,,0.049,0.19,20.0,27.5,25.7,13.8,114,9.46,,,,,,,,,,,,,,,,
2019,3,27,SP,G3,,G3-H,H,,,,,,,,,,,,,,沙地,25.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,G3,,G3-M,M,,,,,,,,,,,,,,沙地,25.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,G3,,G3-L,L,8:10,21.3 ,33.7 ,8.04 ,8.41 ,101.0 ,22.60 ,0.04,0.30,0.07,0.218,77.8,,沙地,25.000,0.000,0.000,0.000,0.049,0.19,19.2,18.6,22.8,13.0,102,8.43,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,1,KS1-H,H,7:54,21.3 ,33.0 ,8.22 ,10.24 ,115.6 ,13.24 ,0.01,0.31,0.04,0.164,48.0,,1.216666667,0.000,0.250,24.750,3.667,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,1,KS1-M,M,7:57,21.1 ,33.1 ,8.24 ,10.12 ,113.7 ,11.94 ,0.01,0.30,0.05,0.149,35.7,,0.7,2.000,1.000,22.000,2.000,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,1,KS1-L,L,8:07,21.4 ,33.1 ,8.21 ,10.59 ,119.8 ,8.67 ,0.03,0.29,0.06,0.159,43.9,,0.3333333333,6.333,0.000,18.667,9.000,0.049,0.19,17.5,18.1,20.5,11.5,90.8,7.36,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,2,KS2-H,H,9:11,23.7 ,32.4 ,8.67 ,13.69 ,161.9 ,5.86 ,0.01,0.22,0.05,0.105,22.4,,1.333333333,1.000,1.833,22.167,4.333,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,2,KS2-M,M,9:01,23.5 ,32.3 ,8.36 ,10.79 ,127.4 ,4.31 ,<0.01,0.42,0.07,0.149,73.2,,1.316666667,3.000,7.833,14.167,8.333,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,2,KS2-L,L,8:50,22.1 ,33.5 ,8.23 ,10.61 ,121.6 ,17.30 ,0.02,0.21,0.06,0.184,60.6,,0.6666666667,0.333,4.333,20.333,10.000,0.049,0.19,23.3,22.7,27.4,14.9,112,10.2,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,3,KS3-H,H,9:52,25.6 ,32.6 ,8.41 ,18.52 ,224.3 ,3.10 ,0.00095,0.34,0.06,0.075,11.8,,0.9333333333,0.333,2.667,22.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,3,KS3-M,M,9:44,23.6 ,33.7 ,8.39 ,12.41 ,146.5 ,8.73 ,0.02,0.18,0.10,0.120,35.8,,0.6166666667,0.000,1.500,23.500,0.333,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,27,SP,KS,3,KS3-L,L,9:37,24.5 ,33.8 ,8.54 ,15.77 ,190.4 ,6.30 ,0.01,0.16,0.06,0.105,28.4,,0.4166666667,0.667,1.333,23.000,0.000,0.049,0.19,20.3,19.2,22.0,13.5,93.1,10.9,,,,,,,,,,,,,,,,
2019,5,21,SP,BY,1,BY1-H,H,5:30,22.2 ,28.8 ,7.84 ,8.12 ,93.7 ,1.95 ,0.03,0.39,0.13,0.201,,2.034 ,2.5,3.667,2.500,18.833,9.333,,,,,,,,,5,25,40.00,0.00,0.00,900,1500,0,900,0,0,0,200,0,0,
2019,5,21,SP,BY,1,BY1-M,M,5:39,23.9 ,29.8 ,7.97 ,8.18 ,97.3 ,38.00 ,0.02,0.35,0.16,0.224,,1.557 ,2.583333333,2.167,4.833,18.000,6.333,,,,,,,,,45,2,5.33,2.67,0.00,3100,100,0,800,0,0,0,0,0,0,
2019,5,21,SP,BY,1,BY1-L,L,5:50,24.7 ,29.8 ,7.98 ,8.28 ,99.4 ,45.70 ,0.02,0.35,0.13,0.828,,2.187 ,3.25,3.167,1.333,20.500,4.500,0.049,0.19,24.9,27.1,26.4,14.9,113.0,7.6,76,0,9.33,2.67,0.00,14600,800,0,300,0,0,0,0,1300,0,9
2019,5,21,SP,BY,2,BY2-H,H,6:00,21.9 ,24.6 ,8.05 ,8.03 ,92.6 ,4.77 ,0.01,0.40,0.08,0.178,,0.891 ,2.516666667,5.000,0.733,19.267,5.833,,,,,,,,,15,25,5.33,13.33,0.00,2400,100,0,900,0,0,0,400,0,0,
2019,5,21,SP,BY,2,BY2-M,M,6:05,22.8 ,28.8 ,8.00 ,8.52 ,99.4 ,4.26 ,0.02,0.31,0.10,0.035,,2.162 ,2.65,2.667,2.833,19.500,3.500,,,,,,,,,35,25,93.33,0.00,0.00,9700,800,0,3100,0,0,0,0,3000,0,
2019,5,21,SP,BY,2,BY2-L,L,6:10,23.6 ,27.5 ,8.08 ,8.55 ,101.0 ,19.40 ,0.02,0.36,0.11,0.432,,1.132 ,2.383333333,5.333,1.833,17.833,6.333,0.049,0.19,21.3,24.5,23.4,16.2,111.0,5.9,45,16,28.00,0.00,0.00,11800,400,0,1400,0,0,0,100,2500,0,13
2019,5,21,SP,BY,3,BY3-H,H,6:30,23.1 ,29.7 ,8.08 ,8.39 ,98.3 ,4.89 ,0.02,0.30,0.11,0.293,,1.066 ,2.483333333,1.667,4.167,19.167,6.333,,,,,,,,,35,0,32.00,1.33,0.00,8000,400,0,500,200,0,0,0,15000,0,
2019,5,21,SP,BY,3,BY3-M,M,6:25,24.0 ,30.1 ,8.04 ,8.07 ,95.8 ,22.60 ,0.02,0.32,0.14,0.075,,4.616 ,0.6833333333,0.667,0.567,23.767,2.833,,,,,,,,,5,65,20.00,1.33,0.00,7000,100,0,100,0,0,0,0,5900,0,
2019,5,21,SP,BY,3,BY3-L,L,6:20,24.4 ,29.5 ,8.05 ,8.26 ,99.3 ,28.30 ,0.02,0.32,0.11,0.303,,3.528 ,1,0.500,0.500,24.000,8.167,0.049,0.19,20.6,26.1,23.3,15.6,105.0,6.6,55,12,13.33,5.33,0.00,6600,700,0,1300,0,0,0,0,200,0,15
2019,5,20,SP,G1,1,G1-1-H,H,6:25,26.7 ,31.9 ,8.06 ,7.94 ,99.5 ,5.29 ,0.02,0.06,0.07,0.171,,3.381 ,1.3,3.667,0.233,21.100,11.167,,,,,,,,,55,0,2.67,17.33,0.00,1400,0,0,200,0,0,0,0,0,0,
2019,5,20,SP,G1,1,G1-1-M,M,6:20,26.8 ,32.9 ,8.02 ,7.95 ,99.8 ,5.15 ,0.00095,0.06,0.06,0.121,,2.368 ,2.2,2.667,0.000,22.333,8.667,,,,,,,,,77,0,0.00,21.33,0.00,5000,0,0,200,0,0,0,0,0,0,
2019,5,20,SP,G1,1,G1-1-L,L,6:10,27.0 ,33.1 ,8.00 ,7.87 ,99.0 ,9.05 ,0.00095,0.05,0.04,0.135,,1.500 ,0.7166666667,2.000,0.000,23.000,12.500,0.049,0.19,20.5,19.5,20.3,11.8,89.8,7.4,82,0,2.67,13.33,0.00,900,200,0,0,0,0,0,0,200,0,7
2019,5,,SP,G1,2,G1-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0.00,10.67,0.00,3200,200,0,500,0,0,0,0,0,0,
2019,5,,SP,G1,2,G1-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,2.67,32.00,0.00,6000,100,0,200,0,0,0,0,1300,0,
2019,5,,SP,G1,2,G1-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,1.33,32.00,0.00,6700,700,0,900,0,0,0,0,3600,0,7
2019,5,20,SP,G1,3,G1-3-H,H,5:44,27.0 ,33.6 ,7.93 ,7.25 ,91.6 ,16.75 ,0.00095,0.05,0.08,0.067,,0.746 ,0.4,0.000,1.000,24.000,12.333,,,,,,,,,67,0,9.33,1.33,0.00,3800,600,100,400,0,0,0,0,0,0,
2019,5,20,SP,G1,3,G1-3-M,M,5:52,27.0 ,33.6 ,7.94 ,7.27 ,91.0 ,2.78 ,0.00095,0.02,0.08,0.059,,3.495 ,1.35,5.333,0.000,19.667,14.667,,,,,,,,,70,0,1.33,1.33,0.00,9600,200,0,1000,0,0,0,0,2800,0,
2019,5,20,SP,G1,3,G1-3-L,L,6:00,27.2 ,33.6 ,8.02 ,7.63 ,96.0 ,9.29 ,0.00095,0.05,0.15,0.083,,3.575 ,1.366666667,9.667,0.000,15.333,13.000,0.049,0.19,20.1,23.0,20.3,12.8,89.9,3.8,67,0,4.00,30.67,0.00,5900,400,0,100,0,0,0,0,1700,0,0
2019,5,20,SP,G2,1,G2-1-H,H,6:00,26.9 ,33.1 ,7.87 ,7.44 ,92.8 ,6.20 ,0.00095,0.04,0.08,0.074,,0.670 ,1.883333333,2.500,1.333,21.167,8.000,,,,,,,,,0,27,10.67,8.00,0.00,1800,200,0,100,0,0,0,0,800,0,
2019,5,20,SP,G2,1,G2-1-M,M,5:55,27.1 ,33.0 ,8.00 ,7.62 ,95.4 ,6.00 ,0.00095,0.04,0.07,0.065,,0.441 ,1.016666667,0.500,0.000,24.500,8.167,,,,,,,,,5,27,1.33,5.33,0.00,2300,200,0,500,0,0,0,0,4000,0,
2019,5,20,SP,G2,1,G2-1-L,L,5:48,27.3 ,33.2 ,7.94 ,7.48 ,94.3 ,11.40 ,0.00095,0.05,0.04,0.069,,0.550 ,1.133333333,1.000,0.000,24.000,7.833,0.049,0.19,25.2,28.6,27.0,16.0,126.0,11.7,43,1,6.67,1.33,0.00,15300,3000,0,900,300,100,0,0,6600,0,23
2019,5,,SP,G2,2,G2-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,0.00,2.67,0.00,1200,400,0,1100,0,0,0,100,4600,0,
2019,5,,SP,G2,2,G2-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,0.00,1.33,0.00,3200,500,0,700,0,0,0,300,3000,0,
2019,5,,SP,G2,2,G2-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,65,12,2.67,0.00,0.00,6100,4000,0,2300,200,0,0,0,2600,0,5
2019,5,20,SP,G2,3,G2-3-H,H,6:33,26.7 ,32.1 ,7.83 ,5.85 ,72.9 ,5.60 ,0.00095,0.08,0.08,0.072,,0.870 ,0.5166666667,0.833,0.000,24.167,9.333,,,,,,,,,0,12,0.00,6.67,0.00,3400,400,0,1500,0,0,0,0,5200,0,
2019,5,20,SP,G2,3,G2-3-M,M,6:28,26.6 ,33.2 ,7.81 ,6.41 ,79.9 ,3.80 ,0.00095,0.05,0.06,0.042,,1.387 ,0.7833333333,2.667,0.000,22.333,12.667,,,,,,,,,7,19,0.00,1.33,0.00,5800,1000,0,1800,0,0,0,0,2400,0,
2019,5,20,SP,G2,3,G2-3-L,L,6:19,27.0 ,33.2 ,7.75 ,5.78 ,72.3 ,11.20 ,0.00095,0.09,0.06,0.070,,1.619 ,0.2833333333,1.333,0.000,23.667,6.000,0.049,0.19,21.4,33.2,28.2,16.5,130.0,7.2,75,2,0.00,1.33,0.00,6400,700,0,3000,0,0,0,0,4900,0,0
2019,5,21,SP,KS,1,KS1-H,H,5:31,23.4 ,31.8 ,7.84 ,7.02 ,82.0 ,7.00 ,0.02,0.16,0.07,0.192,,2.386 ,0.7666666667,6.000,0.000,19.000,6.667,,,,,,,,,5,40.7,0.00,1.33,0.00,14400,2800,0,1000,200,0,0,0,10100,0,
2019,5,21,SP,KS,1,KS1-M,M,5:46,25.3 ,32.1 ,8.02 ,7.74 ,93.6 ,40.30 ,0.02,0.10,0.08,0.275,,1.573 ,0.3833333333,8.333,2.667,14.000,8.000,,,,,,,,,27.3,27.3,1.33,2.67,0.00,13000,2700,0,1100,200,0,0,100,9400,0,
2019,5,21,SP,KS,1,KS1-L,L,5:53,24.6 ,31.8 ,8.04 ,8.41 ,100.6 ,57.30 ,0.00095,0.13,0.08,0.220,,2.522 ,0.15,2.667,0.333,22.000,12.333,0.049,0.19,20.6,18.3,22.3,12.3,97.0,7.8,66,5.3,4.00,5.33,0.00,4900,1500,0,900,300,0,0,0,5200,0,10
2019,5,21,SP,KS,2,KS2-H,H,6:24,22.3 ,27.9 ,7.98 ,9.09 ,104.1 ,4.30 ,0.03,0.27,0.17,0.215,,1.897 ,1.983333333,11.333,3.333,10.333,10.333,,,,,,,,,0,83.7,476.00,2.67,0.00,3200,1800,100,4000,0,0,0,0,3200,0,
2019,5,21,SP,KS,2,KS2-M,M,6:32,22.1 ,28.0 ,8.17 ,10.20 ,116.3 ,2.00 ,0.02,0.37,0.07,0.174,,1.880 ,1.033333333,4.000,7.333,13.667,11.000,,,,,,,,,41,19,92.00,4.00,0.00,4100,4700,0,800,0,0,0,300,5100,0,
2019,5,21,SP,KS,2,KS2-L,L,6:39,23.3 ,23.2 ,8.04 ,9.15 ,106.7 ,14.40 ,0.07,0.56,0.28,0.289,,3.288 ,0.2333333333,1.333,6.333,17.333,12.000,0.049,0.19,22.5,18.2,23.0,15.5,107.0,6.3,72.3,2.7,25.33,92.00,1.33,10200,10500,0,700,0,0,0,0,1800,0,10
2019,5,21,SP,KS,3,KS3-H,H,7:14,23.0 ,32.5 ,8.06 ,9.79 ,113.9 ,8.60 ,0.00095,0.13,0.06,0.197,,0.717 ,1.216666667,4.667,6.333,14.000,3.000,,,,,,,,,3,17.7,44.00,0.00,0.00,11900,5600,0,700,0,0,0,100,1800,0,
2019,5,21,SP,KS,3,KS3-M,M,7:12,23.5 ,32.7 ,8.12 ,9.53 ,111.9 ,6.90 ,0.00095,0.11,0.02,0.023,,1.663 ,0.9333333333,8.000,2.000,15.000,4.667,,,,,,,,,18.7,15.3,9.33,44.00,0.00,3500,1900,0,300,0,0,0,200,2300,0,
2019,5,21,SP,KS,3,KS3-L,L,7:06,23.4 ,32.7 ,8.01 ,9.90 ,116.6 ,9.30 ,0.00095,0.14,0.07,0.032,,1.367 ,1.05,10.333,3.333,11.333,14.333,0.049,0.19,24.0,17.4,23.6,17.9,105.0,10.2,27,14,2.67,4.00,0.00,2700,700,0,0,0,0,0,100,9200,0,24
2019,5,21,SP,KS,1,KS1滿,滿,12:46,26.3 ,32.8 ,8.05 ,8.22 ,101.9 ,76.00 ,0.00095,0.07,0.07,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5,21,SP,KS,2,KS2滿,滿,12:29,26.7 ,28.3 ,8.03 ,8.06 ,100.5 ,73.00 ,0.04,0.19,0.18,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5,21,SP,KS,3,KS3滿,滿,12:16,26.4 ,32.0 ,8.07 ,8.10 ,100.0 ,182.00 ,0.02,0.1,0.09,0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5,21,SP,G1,,G1滿,滿,12:30,26.3 ,32.2 ,7.87 ,8.26 ,102.5 ,117.00 ,0.02,0.12,0.09,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5,21,SP,G2,,G2滿,滿,12:59,26.0 ,32.2 ,8.08 ,8.24 ,101.8 ,173.00 ,0.01,0.12,0.07,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7,2,SM,BY,1,BY1-H,H,16:30,30.9 ,28.3 ,8.67 ,9.19 ,123.4 ,2.00 ,0.00095,0.02,0.16,0.012,,,0.8,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,
2019,7,2,SM,BY,1,BY1-M,M,16:21,30.8 ,31.4 ,8.30 ,7.99 ,106.7 ,4.00 ,<0.01,0.02,0.12,0.044,,,1.166666667,,,,,,,,,,,,,32,3,,,,,,,,,,,,,,
2019,7,2,SM,BY,1,BY1-L,L,15:57,31.7 ,30.2 ,8.40 ,6.71 ,91.1 ,27.80 ,<0.01,0.03,0.10,0.095,,,1.15,,,,,,,,,,,,,45,0,,,,,,,,,,,,,,
2019,7,2,SM,BY,2,BY2-H,H,16:38,29.8 ,20.2 ,8.47 ,7.29 ,96.2 ,3.90 ,0.01,0.18,0.07,0.055,,,1.516666667,,,,,,,,,,,,,17,25,,,,,,,,,,,,,,
2019,7,2,SM,BY,2,BY2-M,M,16:45,30.1 ,27.2 ,8.48 ,9.48 ,125.6 ,8.80 ,<0.01,0.03,0.07,0.045,,,0.6166666667,,,,,,,,,,,,,25,17,,,,,,,,,,,,,,
2019,7,2,SM,BY,2,BY2-L,L,16:51,29.3 ,29.8 ,8.49 ,7.81 ,101.8 ,3.10 ,<0.01,0.03,0.09,0.037,,,1.4,,,,,,,,,,,,,62,0,,,,,,,,,,,,,,
2019,7,2,SM,BY,3,BY3-H,H,17:13,29.4 ,31.4 ,8.18 ,5.60 ,73.5 ,4.10 ,0.01,0.10,0.09,0.065,,,0.8,,,,,,,,,,,,,38,5,,,,,,,,,,,,,,
2019,7,2,SM,BY,3,BY3-M,M,17:05,29.1 ,30.9 ,8.39 ,7.31 ,95.2 ,15.10 ,0.01,0.26,0.09,0.086,,,1.466666667,,,,,,,,,,,,,33,35,,,,,,,,,,,,,,
2019,7,2,SM,BY,3,BY3-L,L,16:59,30.4 ,32.8 ,8.29 ,7.76 ,103.6 ,9.00 ,<0.01,0.04,0.07,0.051,,,0.9166666667,,,,,,,,,,,,,50,4,,,,,,,,,,,,,,
2019,7,3,SM,G1,1,G1-1-H,H,15:38,29.5 ,29.0 ,8.23 ,7.63 ,100.1 ,24.30 ,0.01,0.09,0.07,0.053,,,2.116666667,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,
2019,7,3,SM,G1,1,G1-1-M,M,15:45,29.5 ,33.9 ,8.29 ,8.97 ,117.5 ,28.30 ,0.00095,0.03,0.05,0.066,,,1.366666667,,,,,,,,,,,,,65,0,,,,,,,,,,,,,,
2019,7,3,SM,G1,1,G1-1-L,L,15:48,29.5 ,33.9 ,8.30 ,9.10 ,119.3 ,18.60 ,0.00095,0.03,0.06,0.037,,,1.283333333,,,,,,,,,,,,,55,0,,,,,,,,,,,,,,
2019,7,,SM,G1,2,G1-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,,,,,,,,,,,,,,
2019,7,,SM,G1,2,G1-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,7,33,,,,,,,,,,,,,,
2019,7,,SM,G1,2,G1-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,,,,,,,,,,,,,,
2019,7,3,SM,G1,3,G1-3-H,H,16:15,29.0 ,33.9 ,8.39 ,9.88 ,128.7 ,4.60 ,0.00095,0.04,0.04,0.035,,,1.383333333,,,,,,,,,,,,,62,0,,,,,,,,,,,,,,
2019,7,3,SM,G1,3,G1-3-M,M,16:08,29.2 ,33.9 ,8.27 ,8.68 ,113.2 ,17.30 ,0.00095,0.05,0.05,0.085,,,1.066666667,,,,,,,,,,,,,15,0,,,,,,,,,,,,,,
2019,7,3,SM,G1,3,G1-3-L,L,16:00,29.1 ,33.9 ,8.32 ,9.20 ,119.8 ,21.00 ,0.02,0.03,0.03,0.105,,,0.3833333333,,,,,,,,,,,,,66,0,,,,,,,,,,,,,,
2019,7,3,SM,G2,1,G2-1-H,H,15:48,29.5 ,33.8 ,8.25 ,7.96 ,103.6 ,12.30 ,0.00095,0.02,0.03,0.086,,,4.333333333,,,,,,,,,,,,,0,15,,,,,,,,,,,,,,
2019,7,3,SM,G2,1,G2-1-M,M,15:43,29.8 ,33.7 ,8.22 ,7.97 ,103.9 ,11.80 ,0.00095,0.02,0.03,0.074,,,1.15,,,,,,,,,,,,,0,7,,,,,,,,,,,,,,
2019,7,3,SM,G2,1,G2-1-L,L,15:36,29.9 ,33.7 ,8.28 ,8.21 ,107.0 ,14.90 ,0.00095,0.03,0.04,0.057,,,0.2166666667,,,,,,,,,,,,,33,1,,,,,,,,,,,,,,
2019,7,,SM,G2,2,G2-2-H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,
2019,7,,SM,G2,2,G2-2-M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,,,,,,,,,,,,,,
2019,7,,SM,G2,2,G2-2-L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,60,5,,,,,,,,,,,,,,
2019,7,3,SM,G2,3,G2-3-H,H,16:29,28.8 ,34.5 ,8.86 ,10.30 ,133.7 ,15.60 ,0.00095,0.02,0.05,0.051,,,1.05,,,,,,,,,,,,,3,8,,,,,,,,,,,,,,
2019,7,3,SM,G2,3,G2-3-M,M,16:22,29.2 ,33.9 ,8.48 ,8.71 ,112.8 ,3.80 ,0.00095,0.04,0.05,0.037,,,0.9666666667,,,,,,,,,,,,,45,0,,,,,,,,,,,,,,
2019,7,3,SM,G2,3,G2-3-L,L,16:07,29.8 ,33.7 ,8.24 ,8.00 ,104.0 ,12.40 ,0.00095,0.04,0.06,0.060,,,0.65,,,,,,,,,,,,,35,5,,,,,,,,,,,,,,
2019,7,2,SM,KS,1,KS1-H,H,17:32,30.6 ,32.7 ,8.21 ,7.13 ,94.4 ,2.20 ,<0.01,0.13,0.10,0.074,,,0.4666666667,,,,,,,,,,,,,0,16,,,,,,,,,,,,,,
2019,7,2,SM,KS,1,KS1-M,M,17:25,30.3 ,32.1 ,8.80 ,7.29 ,95.8 ,3.50 ,<0.01,0.11,0.06,0.086,,,1.083333333,,,,,,,,,,,,,2.7,17,,,,,,,,,,,,,,
2019,7,2,SM,KS,1,KS1-L,L,17:17,30.0 ,32.8 ,8.18 ,7.44 ,97.7 ,6.50 ,0.01,0.11,0.07,0.098,,,1.616666667,,,,,,,,,,,,,64.3,1.7,,,,,,,,,,,,,,
2019,7,2,SM,KS,2,KS2-H,H,16:48,30.8 ,33.7 ,8.36 ,7.73 ,102.3 ,1.10 ,0.00095,0.011,0.07,0.054,,,0.9666666667,,,,,,,,,,,,,11.3,24.7,,,,,,,,,,,,,,
